smiles,pACT
C=C1CC[C@@H]2[C@](C)(CO)[C@H](OC(=O)/C=C/c3ccccc3)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.51
C=C1CC[C@@H]2[C@](C)(CO)[C@H](OC(=O)CCCC)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.16
C=C1CC[C@@H]2[C@](C)(CO)[C@H](OC(=O)c3ccccc3)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.67
C=C1CC[C@@H]2[C@](C)(CO)[C@H](OC(=O)c3cccnc3)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.42
C=C1CC[C@@H]2[C@](C)(CO)[C@H](OC(=O)c3ccco3)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.6
C=C1CC[C@@H]2[C@](C)(CO)[C@H](OC(=O)c3cccs3)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,5.09
C=C1CC[C@@H]2[C@](C)(CO)[C@H](OC(C)=O)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.35
C=C1CC[C@@H]2[C@](C)(COC(=O)/C=C/c3cc(OC)c(OC)c(OC)c3)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CCOC1=O,4.99
C=C1CC[C@@H]2[C@](C)(COC(=O)/C=C/c3cc(OC)c(OC)c(OC)c3)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.65
C=C1CC[C@@H]2[C@](C)(COC(=O)/C=C/c3cccc(Cl)c3)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CCOC1=O,4.22
C=C1CC[C@@H]2[C@](C)(COC(=O)/C=C/c3ccccc3)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CCOC1=O,4.84
C=C1CC[C@@H]2[C@](C)(COC(=O)/C=C/c3ccccc3)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.33
C=C1CC[C@@H]2[C@](C)(COC(=O)CCC(=O)O)[C@H](OC(=O)CCC(=O)O)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.32
C=C1CC[C@@H]2[C@](C)(COC(=O)CCCC)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.16
C=C1CC[C@@H]2[C@](C)(COC(=O)c3cc(=O)c4ccccc4o3)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CCOC1=O,4.44
C=C1CC[C@@H]2[C@](C)(COC(=O)c3ccccc3)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.69
C=C1CC[C@@H]2[C@](C)(COC(=O)c3ccccc3C(=O)O)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.41
C=C1CC[C@@H]2[C@](C)(COC(=O)c3ccccc3C(=O)O)[C@H](OC(=O)c3ccccc3C(=O)O)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.66
C=C1CC[C@@H]2[C@](C)(COC(=O)c3cccnc3)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CCOC1=O,4.66
C=C1CC[C@@H]2[C@](C)(COC(=O)c3cccnc3)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.79
C=C1CC[C@@H]2[C@](C)(COC(=O)c3ccco3)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CCOC1=O,5.03
C=C1CC[C@@H]2[C@](C)(COC(=O)c3ccco3)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.67
C=C1CC[C@@H]2[C@](C)(COC(=O)c3cccs3)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CCOC1=O,4.66
C=C1CC[C@@H]2[C@](C)(COC(=O)c3cccs3)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.71
C=C1CC[C@@H]2[C@](C)(COC(C)=O)[C@H](O)CC[C@@]2(C)[C@@H]1/C=C/C1=CCOC1=O,4.16
C=C1CC[C@@H]2[C@](C)(COC(C)=O)[C@H](O)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.36
C=C1CC[C@@H]2[C@](C)(COC(C)=O)[C@H](OC(C)=O)CC[C@@]2(C)[C@@H]1C/C=C1\C=COC1=O,4.4
C=C1CC[C@H](OC(C)=O)[C@]2(C)[C@@H](OC(C)=O)/C=C/C(=C)[C@H](Cl)[C@@H]3OC(=O)[C@H](C)[C@@]3(O)[C@@H](OC(C)=O)[C@@H]12,6.08
C=C1CC[C@H]2[C@@](C)(CCC(=O)[C@@]2(C)C=O)[C@@H]1C/C=C1/C(=O)OC[C@H]1O,4.29
C=C1[C@@H](n2cc(Br)c3c(N)ncnc32)[C@H](O)[C@H](O)[C@@]1(C)CO,5.08
C=C1[C@@H](n2cc(Cl)c3c(N)ncnc32)[C@H](O)[C@H](O)[C@@]1(C)CO,4.64
C=C1[C@@H](n2cc(I)c3c(N)ncnc32)[C@H](O)[C@H](O)[C@@]1(C)CO,5.47
C=C1[C@@H](n2cnc3c(N)ncnc32)[C@@H](F)[C@H](O)[C@H]1CO,6.17
C=C1[C@@H](n2cnc3c(N)ncnc32)[C@H](F)[C@H](O)[C@H]1CO,6.26
C=C1[C@@H](n2cnc3c(N)ncnc32)[C@H](F)[C@H](O)[C@H]1COP(=O)(N[C@@H](C)C(=O)OC)Oc1ccccc1,7.27
C=C1[C@H](CO)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21,10.22
C=C1[C@H](OP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)C[C@@H]1n1cnc2c(=O)[nH]c(N)nc21,9.37
C=CC(C)(C)c1c(O)c2c(c3ccc(=O)oc13)OC(C)(C)CC2=O,5.73
C=CC(C)(C)c1c2c(c(O)c3ccc(=O)oc13)C=CC(C)(C)O2,5.2
C=CC(C)(C)c1c2c(c(OC)c3ccc(=O)oc13)C(=O)CC(C)(C)O2,4.95
C=CC(C)(C)c1c2c(c(OC)c3ccc(=O)oc13)C1OC1C(C)(C)O2,5.26
C=CC(C)(C)c1c2c(c(OC)c3ccc(=O)oc13)C=CC(C)(C)O2,5.79
C=CC(C)(C)c1cc2c(OC)c3c(c(C(C)(C)C=C)c2oc1=O)OC(C)(C)C1OC31,5.34
C=CC/N=C(\c1ccc(=O)n(CC=C)c1)c1ccc(OC)cc1O,4.92
C=CCNC(=O)C(=O)c1cc(C(=O)Nc2ccc(F)c(F)c2)n(C)c1,7.05
C=CCNc1nc(N)nc2c1ncn2/C=C1/C[C@@H]1CO,4.7
C=CCOC(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)OCC=C.O=C(O)/C=C/C(=O)O,5.09
C=CCOC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc21)OCOC(=O)OCC=C.O=C(O)/C=C/C(=O)O,5.1
C=CCOC(=O)OCOP(=O)(O)COCCn1cnc2c(N)ncnc21.O=C(O)/C=C/C(=O)O,4.97
C=CCOc1nc(N)nc2c1ncn2/C=C1/C[C@@H]1CO,5.64
C=CCc1ccc(O)c(-c2cc(C=O)ccc2O)c1,4.38
C=CCc1ccc(O)c(-c2cc(CC=C)ccc2O)c1,5.69
C=CCc1ccc(O)c(-c2cc(O)ccc2O)c1,4.52
